Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
23756	0.75094	0.90153	-9.7128e-003	1.5563e-002
23757	0.72847	0.90551	-9.5113e-003	1.468e-002
23758	0.73648	0.90575	2.5603e-004	1.4975e-002
23759	0.74896	0.90358	5.3479e-004	1.5467e-002
23760	0.82582	0.88826	-1.0344e-002	1.8691e-002
23761	0.81705	0.89175	1.0619e-003	1.829e-002
23762	0.84528	0.88481	-1.0498e-002	1.9547e-002
23763	0.86475	0.88136	-1.0648e-002	2.042e-002
23764	0.85422	0.88532	4.8591e-005	1.9925e-002
23765	0.88422	0.87791	-1.0793e-002	2.1311e-002
23766	0.90369	0.87446	-1.0935e-002	2.222e-002
23767	0.89356	0.87845	-1.6103e-003	2.1723e-002
23768	0.92316	0.87101	-1.1072e-002	2.3145e-002
23769	0.9259	0.87285	-1.3149e-003	2.3255e-002
23770	0.94249	0.87	-2.9209e-004	2.406e-002
23771	0.98157	0.86066	-1.1458e-002	2.604e-002
23772	0.96196	0.86662	-4.8591e-004	2.5024e-002
23773	0.97964	0.86325	-4.0261e-003	2.592e-002
23774	1.001	0.85721	-1.1578e-002	2.7043e-002
23775	1.0205	0.85376	-1.1694e-002	2.8064e-002
23776	0.99912	0.85985	-4.1601e-003	2.6921e-002
23777	1.0175	0.85681	-3.0744e-003	2.7881e-002
23778	1.04	0.85031	-1.1806e-002	2.9104e-002
23779	1.0594	0.84686	-1.1914e-002	3.0161e-002
23780	1.037	0.85342	-3.2005e-003	2.8917e-002
23781	1.057	0.84999	-2.6925e-003	3.0003e-002
23782	1.0789	0.84341	-1.2017e-002	3.1236e-002
23783	1.0765	0.84659	-2.8604e-003	3.1075e-002
23784	1.0952	0.84331	-3.189e-003	3.2123e-002
23785	1.1511	0.83064	-1.2363e-002	3.5364e-002
23786	1.1763	0.82619	-1.247e-002	3.6858e-002
23787	1.1541	0.83285	-4.6676e-003	3.552e-002
23788	1.1747	0.82966	-1.7016e-003	3.6734e-002
23789	1.1957	0.82275	-1.2548e-002	3.8031e-002
23790	1.2152	0.81931	-1.2622e-002	3.9222e-002
23791	1.1941	0.82627	-1.8542e-003	3.7907e-002
23792	1.2133	0.82294	-1.8451e-003	3.9081e-002
23793	1.2347	0.81587	-1.2692e-002	4.0429e-002
23794	1.2328	0.81766	-1.8174e-003	4.0296e-002
23795	1.2634	0.8117	-8.9772e-004	4.2226e-002
23796	1.2542	0.8168	2.5437e-003	4.1627e-002
23797	1.3074	0.80304	-1.2914e-002	4.5095e-002
23798	1.332	0.79869	-1.2976e-002	4.6735e-002
23799	1.3317	0.80212	-4.0443e-003	4.6687e-002
23800	1.3191	0.8018	4.4205e-003	4.5854e-002
23801	1.3129	0.80779	-2.3491e-004	4.5423e-002
23802	1.3515	0.79526	-1.302e-002	4.8047e-002
23803	1.371	0.79183	-1.306e-002	4.9376e-002
23804	1.3512	0.79873	-4.1009e-003	4.8004e-002
23805	1.3685	0.79597	-2.1632e-003	4.9183e-002
23806	1.3905	0.7884	-1.3096e-002	5.0721e-002
23807	1.388	0.79258	-2.2757e-003	5.0526e-002
23808	1.404	0.78946	-4.707e-003	5.164e-002
23809	1.4637	0.77554	-1.3192e-002	5.5902e-002
23810	1.4878	0.7713	-1.3211e-002	5.7655e-002
23811	1.4765	0.77698	-4.0956e-003	5.6804e-002
23812	1.5073	0.76789	-1.3221e-002	5.9085e-002
23813	1.5268	0.76447	-1.3227e-002	6.053e-002
23814	1.5149	0.77015	-4.9344e-003	5.9624e-002
23815	1.5463	0.76106	-1.3228e-002	6.1991e-002
23816	1.5543	0.76343	-4.3303e-003	6.2577e-002
23817	1.62	0.74818	-1.3197e-002	6.7671e-002
23818	1.6437	0.74405	-1.3174e-002	6.9543e-002
23819	1.6358	0.74939	-3.7565e-003	6.8895e-002
23820	1.6632	0.74066	-1.315e-002	7.1099e-002
23821	1.6826	0.73727	-1.3123e-002	7.2672e-002
23822	1.673	0.74285	-4.127e-003	7.188e-002
23823	1.7021	0.73388	-1.3091e-002	7.4259e-002
23824	1.7203	0.73417	-2.4669e-003	7.5734e-002
23825	1.7764	0.72099	-1.293e-002	8.0412e-002
23826	1.7995	0.71698	-1.2868e-002	8.2361e-002
23827	1.7907	0.72249	-3.7343e-003	8.1602e-002
23828	1.819	0.71361	-1.281e-002	8.4014e-002
23829	1.8385	0.71024	-1.2749e-002	8.568e-002
23830	1.8274	0.71604	-4.1339e-003	8.4721e-002
23831	1.858	0.70688	-1.2683e-002	8.7358e-002
23832	1.8655	0.70942	-4.1528e-003	8.7999e-002
23833	1.8781	0.70701	-5.0896e-003	8.9099e-002
23834	1.9328	0.694	-1.2393e-002	9.3923e-002
23835	1.9554	0.6901	-1.2292e-002	9.5954e-002
23836	1.9352	0.69753	-2.9301e-003	9.4135e-002
23837	1.9487	0.69485	-4.7189e-003	9.5341e-002
23838	1.9749	0.68676	-1.2201e-002	9.7715e-002
23839	1.9944	0.68341	-1.2106e-002	9.949e-002
23840	1.9794	0.68991	-2.5377e-003	9.8115e-002
23841	1.9903	0.68802	-2.5305e-003	9.9108e-002
23842	2.0139	0.68007	-1.2007e-002	0.10128
23843	2.0234	0.68201	-4.1242e-003	0.10215
