Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
340	1.8947	0.30194	-5.3425e-002	7.0524e-002
341	1.7368	0.30543	-5.7835e-002	6.424e-002
342	1.579	0.30891	-6.2245e-002	5.6465e-002
343	1.4211	0.31238	-6.6656e-002	4.3992e-002
344	1.2632	0.31585	-7.1066e-002	3.1022e-002
345	1.1053	0.31931	-7.5477e-002	2.1563e-002
346	0.94737	0.32277	-7.9888e-002	1.8335e-002
347	0.78948	0.32623	-8.4299e-002	2.0255e-002
348	0.63158	0.32968	-8.871e-002	2.354e-002
349	0.47369	0.33314	-9.3122e-002	2.1436e-002
350	0.31579	0.33659	-9.7533e-002	1.7606e-002
351	0.1579	0.34004	-0.10194	7.838e-003
352	2.8421	0.23986	-2.7381e-002	3.1334e-002
353	2.6842	0.23959	-3.2353e-002	3.9436e-002
354	2.5263	0.2393	-3.7325e-002	5.7909e-002
355	2.3684	0.23899	-4.2296e-002	7.4311e-002
356	2.2105	0.23866	-4.7266e-002	8.9551e-002
357	2.0526	0.23832	-5.2237e-002	9.4751e-002
358	1.8947	0.23797	-5.7207e-002	9.8201e-002
359	1.7368	0.23761	-6.2178e-002	9.0485e-002
360	1.5789	0.23724	-6.7149e-002	8.2225e-002
361	1.4211	0.23687	-7.212e-002	6.7443e-002
362	1.2632	0.2365	-7.7091e-002	5.2241e-002
363	1.1053	0.23611	-8.2062e-002	3.7912e-002
364	0.94737	0.23573	-8.7034e-002	2.4843e-002
365	0.78947	0.23534	-9.2005e-002	1.7825e-002
366	0.63158	0.23495	-9.6977e-002	1.533e-002
367	0.47368	0.23456	-0.10195	1.314e-002
368	0.31579	0.23416	-0.10692	1.1626e-002
369	0.15789	0.23377	-0.11189	5.2128e-003
370	2.8421	0.19896	-2.7801e-002	3.9803e-002
371	2.6842	0.19485	-3.3333e-002	6.1515e-002
372	2.5263	0.19071	-3.8865e-002	8.437e-002
373	2.3684	0.18655	-4.4396e-002	0.10198
374	2.2105	0.18238	-4.9928e-002	0.11724
375	2.0526	0.1782	-5.5459e-002	0.12244
376	1.8947	0.174	-6.099e-002	0.12479
377	1.7368	0.1698	-6.6521e-002	0.11635
378	1.5789	0.16559	-7.2052e-002	0.10693
379	1.421	0.16137	-7.7584e-002	9.0631e-002
380	1.2631	0.15715	-8.3115e-002	7.417e-002
381	1.1053	0.15292	-8.8647e-002	5.707e-002
382	0.94736	0.14869	-9.4179e-002	4.0887e-002
383	0.78947	0.14445	-9.9711e-002	2.8724e-002
384	0.63157	0.14022	-0.10524	1.8261e-002
385	0.47368	0.13598	-0.11078	1.2899e-002
386	0.31579	0.13174	-0.11631	8.4634e-003
387	0.15789	0.1275	-0.12184	4.1998e-003
388	3.	0.46242	-2.3258e-002	0.20963
389	3.	0.42537	-2.3115e-002	0.18348
390	3.	0.38831	-2.2973e-002	0.15586
391	3.	0.35126	-2.2831e-002	0.1276
392	3.	0.3142	-2.269e-002	9.9107e-002
393	3.	0.27715	-2.2548e-002	7.1194e-002
394	3.	0.24009	-2.2407e-002	4.5508e-002
395	3.	0.20304	-2.2266e-002	2.9434e-002
396	0.15788	-0.11287	-2.2962e-002	5.6162e-003
397	0.15789	-0.10508	-4.7699e-002	5.6207e-003
398	0.15789	-7.5204e-002	-8.9664e-002	5.7037e-003
399	0.15789	-3.0859e-002	-0.11588	5.6621e-003
400	0.31577	-9.9969e-002	-1.947e-002	1.3774e-002
401	0.31577	-9.2603e-002	-4.3475e-002	1.3627e-002
402	0.31578	-6.3922e-002	-8.4274e-002	1.3095e-002
403	0.31578	-2.1102e-002	-0.10984	1.2022e-002
404	0.47365	-8.7048e-002	-1.6057e-002	2.4931e-002
405	0.47366	-8.0093e-002	-3.9313e-002	2.4604e-002
406	0.47367	-5.2604e-002	-7.8912e-002	2.3595e-002
407	0.47368	-1.1324e-002	-0.1038	2.165e-002
408	0.63154	-7.4106e-002	-1.2723e-002	3.8746e-002
409	0.63155	-6.7551e-002	-3.5214e-002	3.8141e-002
410	0.63156	-4.1251e-002	-7.3581e-002	3.6252e-002
411	0.63157	-1.5229e-003	-9.7777e-002	3.2912e-002
412	0.78943	-6.1145e-002	-9.4682e-003	5.5805e-002
413	0.78944	-5.4979e-002	-3.1177e-002	5.4925e-002
